product,aspect,positive,negative,total,count_mode
MicroMP3,touchpad,2,0,2,unique_reviews
MicroMP3,accessories,1,0,1,unique_reviews
MicroMP3,audio quality,1,0,1,unique_reviews
MicroMP3,case,1,0,1,unique_reviews
MicroMP3,color,1,0,1,unique_reviews
MicroMP3,december 2004,1,0,1,unique_reviews
MicroMP3,fm tuner,1,0,1,unique_reviews
MicroMP3,look,1,0,1,unique_reviews
MicroMP3,menu,1,0,1,unique_reviews
MicroMP3,player,1,0,1,unique_reviews
MicroMP3,price,0,1,1,unique_reviews
MicroMP3,reliability,1,0,1,unique_reviews
MicroMP3,set up,1,0,1,unique_reviews
MicroMP3,simple,1,0,1,unique_reviews
MicroMP3,size,1,0,1,unique_reviews
MicroMP3,tech support,0,1,1,unique_reviews
MicroMP3,voice recording,1,0,1,unique_reviews
MicroMP3,wma support,1,0,1,unique_reviews
MicroMP3,zen case,1,0,1,unique_reviews
Nikon coolpix 4300,camera,2,0,2,unique_reviews
Nikon coolpix 4300,picture quality,1,0,1,unique_reviews
Nikon coolpix 4300,rechargable battery,0,1,1,unique_reviews
Nikon coolpix 4300,sound,0,1,1,unique_reviews
Nokia 6600,phone,2,1,3,unique_reviews
Nokia 6600,battery life,1,0,1,unique_reviews
Nokia 6600,camera quality,1,0,1,unique_reviews
Nokia 6600,mmc card,1,0,1,unique_reviews
Nokia 6600,navigation,0,1,1,unique_reviews
Nokia 6600,pda,1,0,1,unique_reviews
Nokia 6600,picture,0,1,1,unique_reviews
Nokia 6600,picture quality,1,0,1,unique_reviews
Nokia 6600,reception quality,1,0,1,unique_reviews
Nokia 6600,screen,1,0,1,unique_reviews
Nokia 6600,size,1,0,1,unique_reviews
Nokia 6600,software,0,1,1,unique_reviews
Nokia 6600,speaker phone,1,0,1,unique_reviews
Nokia 6600,support,1,0,1,unique_reviews
Nokia 6600,use,0,1,1,unique_reviews
Nokia 6600,video recording,1,0,1,unique_reviews
Nokia 6610,phone,4,0,4,unique_reviews
Nokia 6610,size,2,1,3,unique_reviews
Nokia 6610,battery life,2,0,2,unique_reviews
Nokia 6610,speakerphone,2,0,2,unique_reviews
Nokia 6610,features,1,0,1,unique_reviews
Nokia 6610,headphone jack,1,0,1,unique_reviews
Nokia 6610,operate,1,0,1,unique_reviews
Nokia 6610,speaker quality,1,0,1,unique_reviews
Nokia 6610,volume,1,0,1,unique_reviews
norton,installation,1,1,2,unique_reviews
norton,product,2,0,2,unique_reviews
norton,antivirus,1,0,1,unique_reviews
norton,software,0,1,1,unique_reviews
norton,support,0,1,1,unique_reviews
Router,customer service,0,1,1,unique_reviews
Router,internet connection,0,1,1,unique_reviews
Router,price,1,0,1,unique_reviews
Router,speed,1,0,1,unique_reviews
Speaker,speakers,10,1,11,unique_reviews
Speaker,sound,8,0,8,unique_reviews
Speaker,sound quality,3,0,3,unique_reviews
Speaker,price,2,0,2,unique_reviews
Speaker,speaker,2,0,2,unique_reviews
Speaker,speaker system,1,1,2,unique_reviews
Speaker,bass distortion mode,1,0,1,unique_reviews
Speaker,battery life,1,0,1,unique_reviews
Speaker,look,1,0,1,unique_reviews
Speaker,quality,1,0,1,unique_reviews
Speaker,sounded,1,0,1,unique_reviews
Speaker,speaker bar,1,0,1,unique_reviews
Speaker,sub woofer,1,0,1,unique_reviews
Apex AD2600 Progressive-scan DVD player,dvd player,2,0,2,occurrences
Apex AD2600 Progressive-scan DVD player,apex support,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,customer service,0,1,1,occurrences
Apex AD2600 Progressive-scan DVD player,display,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,door,0,1,1,occurrences
Apex AD2600 Progressive-scan DVD player,no disc,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,picture,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,player,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,remote control,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,remote works,0,1,1,occurrences
Apex AD2600 Progressive-scan DVD player,size,1,0,1,occurrences
Apex AD2600 Progressive-scan DVD player,support,0,1,1,occurrences
Apex AD2600 Progressive-scan DVD player,video,1,0,1,occurrences
Canon G3,battery life,1,1,2,occurrences
Canon G3,camera,2,0,2,occurrences
Canon G3,auto mode,0,1,1,occurrences
Canon G3,battery,1,0,1,occurrences
Canon G3,interface,0,1,1,occurrences
Canon G3,lens cap,1,0,1,occurrences
Canon G3,quality,1,0,1,occurrences
Canon G3,software,1,0,1,occurrences
Canon G3,zoom,1,0,1,occurrences
Canon PowerShot SD500,camera,7,0,7,occurrences
Canon PowerShot SD500,quality,5,0,5,occurrences
Canon PowerShot SD500,battery life,2,1,3,occurrences
Canon PowerShot SD500,picture quality,3,0,3,occurrences
Canon PowerShot SD500,auto mode,0,2,2,occurrences
Canon PowerShot SD500,size,1,1,2,occurrences
Canon PowerShot SD500,sound,1,1,2,occurrences
Canon PowerShot SD500,video quality,2,0,2,occurrences
Canon PowerShot SD500,adjustments,1,0,1,occurrences
Canon PowerShot SD500,color,1,0,1,occurrences
Canon PowerShot SD500,display,1,0,1,occurrences
Canon PowerShot SD500,faster,1,0,1,occurrences
Canon PowerShot SD500,lcd screen,1,0,1,occurrences
Canon PowerShot SD500,manual mode,1,0,1,occurrences
Canon PowerShot SD500,movie mode,1,0,1,occurrences
Canon PowerShot SD500,photo quality,1,0,1,occurrences
Canon PowerShot SD500,prints,1,0,1,occurrences
Canon PowerShot SD500,priority mode,0,1,1,occurrences
Canon PowerShot SD500,quality picture,1,0,1,occurrences
Canon PowerShot SD500,screen,1,0,1,occurrences
Canon PowerShot SD500,software,1,0,1,occurrences
Canon PowerShot SD500,speed,1,0,1,occurrences
Canon PowerShot SD500,speeds,1,0,1,occurrences
Canon PowerShot SD500,user interface,1,0,1,occurrences
Canon PowerShot SD500,weight,1,0,1,occurrences
Canon S100,camera,5,0,5,occurrences
Canon S100,size,3,0,3,occurrences
Canon S100,auto mode,1,1,2,occurrences
Canon S100,battery,1,0,1,occurrences
Canon S100,battery life,1,0,1,occurrences
Canon S100,jewel,1,0,1,occurrences
Canon S100,lens cap,1,0,1,occurrences
Canon S100,macro mode,0,1,1,occurrences
Canon S100,manual mode,0,1,1,occurrences
Canon S100,viewfinder,1,0,1,occurrences
Canon S100,zoom,1,0,1,occurrences
Computer,picture,3,1,4,occurrences
Computer,screen quality,2,0,2,occurrences
Computer,acer monitor,1,0,1,occurrences
Computer,color display,1,0,1,occurrences
Computer,customer service,0,1,1,occurrences
Computer,design,1,0,1,occurrences
Computer,monitor,1,0,1,occurrences
Computer,product,1,0,1,occurrences
Computer,read,1,0,1,occurrences
Computer,screen,1,0,1,occurrences
Computer,shipping,1,0,1,occurrences
Computer,size,1,0,1,occurrences
Computer,weight,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,software,8,4,12,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,player,2,4,6,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,interface,5,0,5,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,sound,5,0,5,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,size,4,0,4,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,battery,3,0,3,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,sound quality,3,0,3,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,battery life,2,0,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,display,2,0,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,earbuds,2,0,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,headphone jack,2,0,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,install,1,1,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,product,1,1,2,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,control,0,1,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,fits,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,heavy,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,instruction manual,0,1,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,mediasource,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,operate,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,price,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,screen,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,scroll bar,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,scroll wheel,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,sounded,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,storage,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,use,1,0,1,occurrences
Creative Labs Nomad Jukebox Zen Xtra 40GB,volume,1,0,1,occurrences
Diaper Champ,diaper champ,6,1,7,occurrences
Diaper Champ,odor,2,1,3,occurrences
Diaper Champ,refills,0,2,2,occurrences
Diaper Champ,convenient,1,0,1,occurrences
Diaper Champ,opening,1,0,1,occurrences
Diaper Champ,price,1,0,1,occurrences
Diaper Champ,smell,1,0,1,occurrences
Diaper Champ,trash bags,1,0,1,occurrences
Diaper Champ,use,0,1,1,occurrences
Hitachi router,adjustment,3,0,3,occurrences
Hitachi router,router,3,0,3,occurrences
Hitachi router,price,2,0,2,occurrences
Hitachi router,collet,0,1,1,occurrences
Hitachi router,control,0,1,1,occurrences
Hitachi router,design,1,0,1,occurrences
Hitachi router,setup,1,0,1,occurrences
Hitachi router,stable,1,0,1,occurrences
ipod,battery life,2,0,2,occurrences
ipod,design,2,0,2,occurrences
ipod,interface,2,0,2,occurrences
ipod,battery,1,0,1,occurrences
ipod,operate,1,0,1,occurrences
ipod,software,1,0,1,occurrences
ipod,storage,1,0,1,occurrences
Linksys Router,router,3,1,4,occurrences
Linksys Router,setup,3,0,3,occurrences
Linksys Router,connection,1,0,1,occurrences
Linksys Router,installation,1,0,1,occurrences
Linksys Router,instructions,0,1,1,occurrences
Linksys Router,set up,1,0,1,occurrences
Linksys Router,use,1,0,1,occurrences
MicroMP3,sound quality,4,0,4,occurrences
MicroMP3,battery,3,0,3,occurrences
MicroMP3,software,3,0,3,occurrences
MicroMP3,sound,3,0,3,occurrences
MicroMP3,interface,2,0,2,occurrences
MicroMP3,touchpad,2,0,2,occurrences
MicroMP3,accessories,1,0,1,occurrences
MicroMP3,audio quality,1,0,1,occurrences
MicroMP3,case,1,0,1,occurrences
MicroMP3,color,1,0,1,occurrences
MicroMP3,december 2004,1,0,1,occurrences
MicroMP3,fm tuner,1,0,1,occurrences
MicroMP3,look,1,0,1,occurrences
MicroMP3,menu,1,0,1,occurrences
MicroMP3,player,1,0,1,occurrences
MicroMP3,price,0,1,1,occurrences
MicroMP3,reliability,1,0,1,occurrences
MicroMP3,set up,1,0,1,occurrences
MicroMP3,simple,1,0,1,occurrences
MicroMP3,size,1,0,1,occurrences
MicroMP3,tech support,0,1,1,occurrences
MicroMP3,voice recording,1,0,1,occurrences
MicroMP3,wma support,1,0,1,occurrences
MicroMP3,zen case,1,0,1,occurrences
Nikon coolpix 4300,camera,3,0,3,occurrences
Nikon coolpix 4300,picture quality,1,0,1,occurrences
Nikon coolpix 4300,rechargable battery,0,1,1,occurrences
Nikon coolpix 4300,sound,0,1,1,occurrences
Nokia 6600,phone,2,3,5,occurrences
Nokia 6600,battery life,1,0,1,occurrences
Nokia 6600,camera quality,1,0,1,occurrences
Nokia 6600,mmc card,1,0,1,occurrences
Nokia 6600,navigation,0,1,1,occurrences
Nokia 6600,pda,1,0,1,occurrences
Nokia 6600,picture,0,1,1,occurrences
Nokia 6600,picture quality,1,0,1,occurrences
Nokia 6600,reception quality,1,0,1,occurrences
Nokia 6600,screen,1,0,1,occurrences
Nokia 6600,size,1,0,1,occurrences
Nokia 6600,software,0,1,1,occurrences
Nokia 6600,speaker phone,1,0,1,occurrences
Nokia 6600,support,1,0,1,occurrences
Nokia 6600,use,0,1,1,occurrences
Nokia 6600,video recording,1,0,1,occurrences
Nokia 6610,phone,6,0,6,occurrences
Nokia 6610,size,2,1,3,occurrences
Nokia 6610,battery life,2,0,2,occurrences
Nokia 6610,speakerphone,2,0,2,occurrences
Nokia 6610,features,1,0,1,occurrences
Nokia 6610,headphone jack,1,0,1,occurrences
Nokia 6610,operate,1,0,1,occurrences
Nokia 6610,speaker quality,1,0,1,occurrences
Nokia 6610,volume,1,0,1,occurrences
norton,installation,2,1,3,occurrences
norton,product,2,0,2,occurrences
norton,software,0,2,2,occurrences
norton,antivirus,1,0,1,occurrences
norton,support,0,1,1,occurrences
Router,customer service,0,1,1,occurrences
Router,internet connection,0,1,1,occurrences
Router,price,1,0,1,occurrences
Router,speed,1,0,1,occurrences
Speaker,speakers,10,1,11,occurrences
Speaker,sound,8,0,8,occurrences
Speaker,sound quality,3,0,3,occurrences
Speaker,price,2,0,2,occurrences
Speaker,speaker,2,0,2,occurrences
Speaker,speaker system,1,1,2,occurrences
Speaker,bass distortion mode,1,0,1,occurrences
Speaker,battery life,1,0,1,occurrences
Speaker,look,1,0,1,occurrences
Speaker,quality,1,0,1,occurrences
Speaker,sounded,1,0,1,occurrences
Speaker,speaker bar,1,0,1,occurrences
Speaker,sub woofer,1,0,1,occurrences
